Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
1.08,0.0078,0.0594,0.015
1.1,-0.0122,-0.0777,0.0563
1.12,-0.0043,0.0086,-0.0116
1.14,0.0342,-0.0312,-0.0462
1.16,0.0372,0.0024,-0.0133
1.18,-0.0688,-0.0683,-0.02
1.2,0.0176,-0.0414,0.0064
1.22,0.074,-0.0027,0.0226
1.24,-0.016,-0.0633,0.0245
1.26,-0.0567,0.0124,-0.0257
1.28,-0.0483,-0.0605,-0.011
1.3,0.0007,-0.02,0.0185
1.32,0.0296,-0.0159,0.0149
1.34,0.0388,-0.0902,0.0775
1.36,-0.0043,-0.0253,0.0277
1.38,0.0126,0.0136,0.003
1.4,0.0286,-0.0191,0.0071
1.42,-0.0101,-0.0097,0.0163
1.44,0.0339,-0.014,0.0104
1.46,-0.006,-0.0324,0.001
1.48,-0.0211,0.0023,0.0175
1.5,-0.0247,0.0173,-0.0162
1.52,0.0281,-0.0218,0.0309
1.54,-0.0077,0.0393,0.0152
1.56,0.0374,-0.0084,-0.0033
1.58,-0.0567,-0.0346,0.0452
1.6,-0.0044,-0.0118,0.0202
1.62,0.0086,-0.0327,0.066
1.64,0.0041,0.0006,0.0671
1.66,-0.0181,0.0304,0.0206
1.68,-0.039,-0.0742,0.0177
1.7,0.0483,0.0331,-0.0066
1.72,0.0452,-0.0049,0.0058
1.74,0.044,-0.0373,0.0569
1.76,-0.0268,-0.0485,0.0447
1.78,0.0076,0.0148,0.0117
1.8,-0.0187,-0.0464,0.0123
1.82,-0.0086,0.0076,-0.0001
1.84,0.0228,-0.0075,-0.0123
1.86,0.0129,-0.0194,0.045
1.88,-0.0325,-0.0123,0.0338
1.9,0.0406,-0.011,0.0117
1.92,-0.0152,-0.0418,0.0104
1.94,0.0194,-0.0346,0.0064
1.96,0.0234,-0.0067,-0.0161
1.98,-0.0042,-0.0075,0.0282
2.0,0.0445,-0.0902,-0.031
2.02,-0.0144,-0.0711,0.0491
2.04,-0.0404,-0.0229,0.0274
2.06,0.0189,-0.0268,0.0483
2.08,-0.041,0.0326,0.0798
2.1,0.0534,0.0003,0.0299
2.12,0.038,-0.0142,0.0104
2.14,-0.0044,-0.0014,-0.0163
2.16,-0.0155,-0.0298,-0.0126
2.18,0.0133,-0.0752,0.0365
2.2,0.0368,-0.027,0.0662
2.22,0.0022,-0.0285,-0.0112
2.24,0.0245,-0.0447,0.0552
2.26,0.0279,-0.0163,0.0521
2.28,0.0305,-0.0346,0.0004
2.3,0.0483,-0.0159,0.0305
2.32,0.0083,0.02,0.0026
2.34,-0.0225,-0.0405,0.0086
2.36,-0.0048,-0.062,-0.0082
2.38,-0.0031,-0.0705,0.0008
2.4,0.0273,0.0041,0.0055
2.42,-0.0001,0.0191,0.0166
2.44,-0.0419,0.0113,0.0405
2.46,0.0463,-0.0161,0.018
2.48,0.0028,-0.0218,0.0476
2.5,0.0105,0.0068,0.014
2.52,0.0029,-0.0659,0.0052
2.54,0.0238,-0.0146,0.0174
2.56,-0.0857,-0.0091,0.0099
2.58,-0.0095,-0.0751,0.01
2.6,0.027,-0.0232,0.0393
2.62,0.0327,-0.0047,0.0476
2.64,-0.0095,0.0163,0.0348
2.66,-0.006,-0.0171,-0.0105
2.68,-0.028,-0.0557,-0.036
2.7,-0.0212,-0.0223,0.0513
2.72,-0.0037,-0.0337,0.0408
2.74,-0.0475,-0.0067,0.0425
2.76,0.0355,-0.0771,0.0076
2.78,-0.0137,-0.0427,0.0005
2.8,-0.0476,-0.0273,-0.0172
2.82,-0.0362,-0.0422,0.0002
2.84,0.0483,-0.008,0.0178
2.86,0.0159,-0.0048,-0.0124
2.88,-0.0167,-0.0013,0.012
2.9,0.0028,-0.012,0.0354
2.92,0.0138,-0.0239,0.0115
2.94,0.021,0.0364,0.0076
2.96,0.0241,-0.0083,0.0542
2.98,0.0074,-0.0361,0.0625
3.0,0.0117,-0.0104,0.0429
3.02,-0.0054,-0.0591,0.0185
3.04,0.0386,-0.0333,-0.0188
3.06,-0.0286,-0.0208,-0.0045
3.08,0.0125,-0.0553,-0.0305
3.1,-0.0333,-0.0794,0.0156
3.12,0.0028,-0.0473,-0.0073
3.14,0.0209,-0.0288,0.0235
3.16,0.0001,-0.0373,0.0702
3.18,-0.0086,-0.0542,-0.0031
3.2,-0.0177,-0.0553,0.0176
3.22,0.0354,-0.0536,-0.0173
3.24,0.0337,0.0117,0.0497
3.26,-0.0019,0.0419,-0.052
3.28,0.0083,-0.0567,0.019
3.3,0.0109,0.0505,-0.0103
3.32,0.031,-0.0597,0.0204
3.34,0.0446,-0.0501,0.0255
3.36,0.0524,0.0014,-0.014
3.38,0.0248,-0.0002,-0.0445
3.4,0.015,-0.0312,0.0325
3.42,0.0133,0.0781,-0.0001
3.44,0.0035,0.0291,-0.0
3.46,0.0682,-0.0085,0.0109
3.48,-0.0594,-0.0688,0.0533
3.5,0.0394,-0.0594,-0.024
3.52,0.0272,0.0102,-0.0121
3.54,-0.0344,-0.0354,0.0633
3.56,0.0273,-0.0467,-0.0166
3.58,0.0131,-0.0194,-0.0265
3.6,0.0462,-0.071,0.0454
3.62,0.0046,-0.014,0.0148
3.64,0.0094,-0.0645,0.0194
3.66,0.0169,0.0012,-0.0386
3.68,-0.0258,-0.0583,0.0096
3.7,0.0512,0.0157,0.0142
3.72,0.0293,-0.0815,0.0388
3.74,-0.0038,-0.046,0.0319
3.76,0.0207,-0.0166,0.0072
3.78,0.0451,-0.0014,0.0413
3.8,0.0446,0.0102,0.0392
3.82,0.001,-0.0103,0.0804
3.84,0.0013,-0.0312,-0.0017
3.86,0.0393,-0.0145,0.004
3.88,-0.0212,-0.0117,-0.0465
3.9,0.0004,-0.0435,0.0443
3.92,0.0404,-0.0457,0.0248
3.94,0.0455,0.0076,-0.0413
3.96,-0.0253,-0.0328,0.0176
3.98,-0.0119,0.001,0.0051
4.0,0.0084,0.0093,-0.0133
4.02,0.0126,-0.0202,0.0274
4.04,-0.0018,-0.0225,-0.04
4.06,0.0196,-0.0016,-0.0017
4.08,0.0537,-0.0045,-0.053
4.1,-0.0366,-0.0301,0.0086
4.12,0.0395,-0.0532,0.016
4.14,-0.0088,-0.0557,0.0115
4.16,0.0205,-0.0378,0.0007
4.18,-0.0179,-0.1017,0.0492
4.2,-0.0389,-0.027,0.0188
4.22,0.019,0.0088,-0.0678
4.24,-0.0165,-0.0246,0.0104
4.26,0.0143,-0.044,-0.0211
4.28,0.0328,-0.041,0.012
4.3,0.0406,-0.0662,0.0359
4.32,-0.0409,-0.0823,0.0018
4.34,0.0043,0.0536,0.0188
4.36,-0.0061,-0.0054,0.0492
4.38,0.0458,0.007,-0.01
4.4,0.0056,-0.0638,0.0419
4.42,0.0179,-0.0194,-0.0061
4.44,-0.034,-0.0126,-0.0512
4.46,0.015,-0.0128,0.0375
4.48,-0.0069,0.0032,0.043
4.5,0.044,-0.0498,-0.0334
4.52,0.0148,0.0232,0.0114
4.54,-0.0061,0.0107,0.0227
4.56,0.0056,0.0296,0.0162
4.58,0.0298,-0.063,0.0004
4.6,0.0321,0.0052,0.034
4.62,-0.0092,-0.0078,0.0003
4.64,0.0264,-0.0342,0.0339
4.66,0.0309,-0.0026,0.0175
4.68,-0.0186,-0.0266,0.0145
4.7,0.0072,-0.0715,0.0296
4.72,-0.0041,-0.0336,0.0135
4.74,-0.0359,-0.035,0.023
4.76,-0.0099,-0.0467,0.0528
4.78,0.0149,-0.0361,0.0915
4.8,0.0223,-0.0257,0.0159
4.82,0.0302,0.0007,0.0169
4.84,-0.0312,-0.0394,-0.0047
4.86,0.0344,0.0226,-0.0241
4.88,0.0197,-0.0356,0.0182
4.9,0.0372,0.0155,0.0196
4.92,-0.0272,-0.0143,-0.0156
4.94,0.0208,-0.0384,-0.0309
4.96,0.0992,-0.087,0.0188
4.98,0.0331,-0.0278,-0.0077
5.0,0.0722,0.0079,0.0387
5.02,-0.0123,-0.0571,0.0072
5.04,0.0096,-0.022,-0.0139
5.06,0.0257,-0.0479,0.0268
5.08,0.0385,0.0109,0.0011
5.1,0.0465,-0.0228,0.0313
5.12,0.0121,-0.0187,0.049
5.14,-0.0061,-0.0145,-0.0128
5.16,0.053,-0.0526,0.0056
5.18,0.0312,-0.0081,0.0234
5.2,-0.0113,-0.0321,0.0342
5.22,-0.0075,0.0193,-0.0046
5.24,0.0459,-0.0452,0.0293
5.26,0.0042,0.0179,0.0246
5.28,0.0454,-0.0047,0.021
5.3,0.0462,0.0363,0.0726
5.32,-0.051,-0.0506,0.0147
5.34,0.0105,0.0297,0.0192
5.36,-0.0373,-0.0544,-0.0454
5.38,-0.0406,-0.0319,-0.0106
5.4,-0.0423,-0.0182,0.0067
5.42,0.0323,-0.0249,0.0223
5.44,-0.0485,-0.0075,0.0168
5.46,0.0552,0.0033,0.0378
5.48,0.0497,-0.0313,0.0505
5.5,0.0377,-0.0114,0.0128
5.52,0.0604,-0.0047,0.0174
5.54,0.0112,0.034,-0.0111
5.56,-0.0421,-0.0564,0.0498
5.58,-0.0108,0.0145,0.069
5.6,0.0161,0.0082,0.0274
5.62,0.007,-0.0296,0.0153
5.64,-0.0508,-0.0207,0.0116
5.66,0.0243,0.0034,0.0291
5.68,0.031,-0.0281,0.0035
5.7,0.0048,-0.0113,0.0374
5.72,0.0329,0.0142,0.024
5.74,0.0153,-0.0542,-0.019
5.76,0.0171,-0.0108,0.0113
5.78,-0.0191,-0.0278,-0.0122
5.8,0.0008,0.0303,-0.0278
5.82,-0.0037,0.002,-0.005
5.84,0.0271,0.0527,0.0059
5.86,0.0115,0.0151,-0.04
5.88,-0.0191,0.0117,0.0303
5.9,0.0023,-0.0577,0.0121
5.92,0.0567,-0.0364,0.0168
5.94,-0.0342,-0.0199,-0.0142
5.96,-0.0064,-0.0201,-0.0146
5.98,0.0398,0.0072,0.0165
6.0,0.0608,0.0151,0.0268
6.02,0.0146,-0.0384,0.0163
6.04,0.0318,-0.0635,0.0196
6.06,-0.0246,0.0264,-0.0074
6.08,-0.0138,-0.0056,0.0346
6.1,-0.0184,-0.0701,0.0509
6.12,-0.0392,-0.0508,-0.0005
6.14,0.0095,-0.0184,0.0064
6.16,0.0491,0.0339,-0.0091
6.18,0.004,-0.0648,0.0296
6.2,0.0105,0.0243,0.0381
6.22,0.043,0.0041,-0.0042
6.24,-0.0111,0.0624,0.0463
6.26,-0.029,-0.01,0.0504
6.28,0.0375,-0.0336,0.0047
6.3,0.0103,-0.0414,-0.0518
6.32,0.0532,0.0272,-0.0463
6.34,-0.0091,-0.0258,-0.0232
6.36,0.0284,-0.074,0.0142
6.38,-0.016,-0.0033,0.0747
6.4,0.0074,-0.0336,0.0128
6.42,0.0399,0.0459,-0.0227
6.44,0.006,-0.0513,0.0185
6.46,0.034,-0.014,-0.0057
6.48,0.0067,-0.055,-0.0038
6.5,-0.0136,-0.0501,0.0063
6.52,0.0427,0.0123,0.0452
6.54,0.0068,-0.0309,0.0124
6.56,0.0805,-0.0053,0.0167
6.58,0.0091,-0.0214,0.0045
6.6,-0.0257,0.0306,0.0167
6.62,-0.0389,0.0116,-0.0161
6.64,-0.0463,-0.0452,0.0076
6.66,-0.0115,-0.0125,0.0083
6.68,0.0267,0.0257,-0.0156
6.7,-0.015,0.0003,0.0433
6.72,0.0915,-0.0161,-0.0012
6.74,-0.024,0.0013,-0.0228
6.76,0.0159,-0.0299,-0.0025
6.78,-0.0007,-0.0458,0.0221
6.8,-0.0226,-0.0769,-0.0156
6.82,-0.0018,-0.0733,0.0213
6.84,-0.0063,-0.0909,0.0092
6.86,0.0067,-0.0173,0.0324
6.88,0.0517,-0.0538,0.0186
6.9,-0.0307,-0.0314,0.0317
6.92,0.0404,-0.0223,-0.0144
6.94,0.0503,0.0387,0.0031
6.96,0.052,-0.0765,0.0508
6.98,0.0115,-0.02,0.018
7.0,0.0076,-0.0502,-0.0151
7.02,-0.0231,-0.0051,0.0009
7.04,0.051,-0.0198,0.0136
7.06,0.0191,0.0138,0.063
7.08,-0.0591,0.0132,0.0014
7.1,-0.0344,0.003,0.0248
7.12,0.0081,-0.0319,-0.0284
7.14,0.0197,-0.0014,0.0388
7.16,-0.0394,-0.0392,0.0502
7.18,0.0172,-0.0166,0.0457
7.2,0.0559,0.0232,0.0091
7.22,-0.0007,-0.0335,0.0213
7.24,0.0027,-0.0401,0.0281
7.26,0.0189,0.0562,-0.0217
7.28,-0.0132,-0.0088,0.0269
7.3,-0.0088,-0.0144,0.0089
7.32,-0.0199,-0.0009,-0.0034
7.34,0.0289,-0.0133,0.037
7.36,-0.0052,-0.0263,0.0023
7.38,-0.0095,-0.0482,0.0414
7.4,0.0281,0.0416,-0.0051
7.42,-0.0172,-0.0637,0.0317
7.44,-0.0209,0.0185,-0.0131
7.46,-0.02,-0.0512,-0.0426
7.48,0.0101,-0.0536,-0.007
7.5,-0.0109,-0.0067,-0.0493
7.52,-0.0005,-0.0491,0.0252
7.54,-0.0048,0.0188,-0.0024
7.56,0.1097,-0.0354,0.0146
7.58,0.0427,0.007,-0.0002
7.6,-0.0212,-0.0562,0.0412
7.62,0.0045,-0.0634,0.0174
7.64,0.0736,-0.0147,-0.0294
7.66,0.007,-0.0401,0.0741
7.68,0.0095,-0.0333,0.0214
7.7,-0.0541,-0.0112,0.0189
7.72,-0.019,-0.0114,-0.0268
7.74,0.0137,-0.0101,-0.0265
7.76,-0.0303,-0.0165,-0.0298
7.78,0.0148,-0.0176,-0.0016
7.8,-0.0106,-0.0356,0.034
7.82,0.0177,-0.0563,0.0044
7.84,-0.0178,-0.0069,-0.0453
7.86,0.0144,-0.0609,0.0649
7.88,0.0362,-0.0485,-0.0187
7.9,0.0559,0.006,0.0281
7.92,0.0294,-0.0174,0.0085
7.94,-0.04,-0.0555,0.0145
7.96,0.0139,-0.0033,0.0089
7.98,0.0099,0.0048,0.0095
8.0,-0.0026,0.0093,-0.0401
8.02,0.0468,-0.0631,0.0029
8.04,0.0631,-0.0271,0.0902
8.06,-0.0353,-0.0031,0.048
8.08,-0.0114,-0.0288,0.0062
8.1,0.0176,-0.0206,0.0272
8.12,0.0403,0.0144,0.0375
8.14,0.0602,-0.0092,0.0499
8.16,-0.0444,0.0139,-0.0171
8.18,0.0427,-0.034,-0.0207
8.2,0.0275,-0.0222,0.0457
8.22,0.0222,-0.0289,0.0391
8.24,0.0053,0.0203,0.0107
8.26,-0.0367,-0.0178,-0.0357
8.28,-0.0096,-0.0544,0.0205
8.3,0.0798,-0.0023,-0.0242
8.32,0.0306,-0.0452,-0.0346
8.34,0.0068,0.0033,0.0565
8.36,0.0149,-0.0208,0.013
8.38,0.0342,-0.0305,0.0701
8.4,-0.0585,-0.0004,0.0146
8.42,0.0141,-0.0124,0.0087
8.44,0.032,-0.0378,0.0203
8.46,0.0158,0.0133,0.018
8.48,0.0324,0.0042,-0.0056
8.5,0.0536,-0.0282,-0.0017
8.52,0.0469,-0.0456,-0.0086
8.54,0.0034,-0.0148,0.0445
8.56,-0.0208,-0.0544,-0.0146
8.58,-0.0108,0.0107,0.0416
8.6,0.0881,-0.0641,-0.022
8.62,-0.0214,0.0126,-0.013
8.64,0.0376,-0.043,-0.0195
8.66,-0.0044,-0.0188,0.0149
8.68,0.0228,-0.0778,0.0387
8.7,0.0339,-0.0164,-0.0027
8.72,-0.0185,0.0244,0.0009
8.74,-0.022,0.0405,0.0456
8.76,0.0393,-0.0842,-0.025
8.78,0.0025,-0.0327,0.054
8.8,-0.0326,-0.0351,0.0443
8.82,0.0249,-0.0024,-0.0036
8.84,-0.0434,0.0079,0.036
8.86,0.0293,-0.0034,-0.0153
8.88,0.0428,-0.041,0.0443
8.9,-0.0194,0.0186,0.02
8.92,-0.008,0.0182,0.0417
8.94,0.0195,-0.0495,0.0108
8.96,-0.0332,0.0026,0.0499
8.98,0.0143,-0.0056,0.0114
9.0,0.0006,-0.0675,-0.0033
9.02,0.009,-0.0043,-0.0239
9.04,0.0585,-0.0586,0.0006
9.06,0.0065,-0.0139,-0.0159
9.08,0.0237,-0.0472,0.0131
9.1,0.041,-0.0399,-0.0238
9.12,-0.0093,0.0664,0.0619
9.14,-0.0028,-0.0379,0.0072
9.16,0.031,-0.0128,0.0104
9.18,0.0163,-0.0309,0.0451
9.2,0.0172,-0.0088,0.0362
9.22,0.0223,0.0202,0.0148
9.24,-0.0124,-0.0295,-0.003
9.26,0.0099,-0.0526,0.0404
9.28,-0.0147,0.0267,-0.0103
9.3,0.0128,0.0126,0.0149
9.32,0.0439,-0.0374,0.0104
9.34,0.0212,-0.0187,0.059
9.36,0.0374,0.0196,-0.0031
9.38,0.0553,-0.0009,0.0368
9.4,0.02,0.0244,-0.0069
9.42,-0.0102,0.031,0.0164
9.44,0.0888,-0.0183,-0.0226
9.46,0.0003,-0.0793,0.0637
9.48,0.0132,-0.022,0.0114
9.5,-0.0067,-0.0039,0.0311
9.52,0.0249,-0.0482,-0.0174
9.54,-0.0038,-0.0443,0.029
9.56,-0.0308,0.0285,-0.0013
9.58,0.0297,0.0243,-0.0221
9.6,0.0078,-0.034,0.0205
9.62,-0.0114,-0.0067,0.0013
9.64,0.0178,-0.0043,0.109
9.66,0.0191,0.0075,-0.0077
9.68,0.0047,-0.029,0.059
9.7,0.0208,-0.0057,0.0085
9.72,0.0003,0.0092,0.0194
9.74,0.0399,-0.0446,0.0082
9.76,0.0043,0.0055,0.005
9.78,-0.0152,-0.0599,0.0165
9.8,-0.0368,-0.0858,0.0204
9.82,0.008,0.0036,0.0439
9.84,-0.0267,-0.0007,0.0205
9.86,-0.0166,-0.0364,-0.0536
9.88,0.0126,-0.0887,-0.0371
9.9,0.0609,-0.0142,0.0252
9.92,0.0859,-0.0451,0.0314
9.94,0.0107,-0.0005,0.0523
9.96,0.0181,-0.0495,0.0716
9.98,0.037,-0.0315,0.012
10.0,0.021,0.0094,0.0177
10.02,0.0338,0.0329,-0.001
10.04,-0.05,-0.0067,0.05
10.06,0.0174,-0.022,0.0478
10.08,0.0295,0.0139,0.0408
10.1,0.0639,-0.0126,0.0447
10.12,0.0204,-0.0013,0.0087
10.14,-0.0354,-0.0104,0.0164
10.16,0.028,-0.0404,0.0376
10.18,0.0024,0.0154,0.0063
10.2,0.0138,-0.0006,0.0142
10.22,0.038,-0.0242,0.0165
10.24,0.0383,-0.0288,0.0081
10.26,-0.0193,0.0065,-0.004
10.28,-0.0173,0.0088,-0.017
10.3,0.0224,0.0446,0.0203
10.32,0.0322,0.0398,0.0438
10.34,0.0112,-0.0476,-0.0256
10.36,0.0256,-0.0233,0.0289
10.38,0.0564,-0.0239,0.0171
10.4,0.0795,-0.0436,0.0265
10.42,0.0399,0.0123,0.0812
10.44,-0.0071,0.0008,0.0398
10.46,0.0264,0.0122,0.0524
10.48,-0.0061,-0.0292,0.021
10.5,0.0034,0.0595,-0.0085
10.52,0.042,-0.0324,0.008
10.54,-0.0027,-0.0137,-0.0065
10.56,-0.0269,0.0004,0.0292
10.58,-0.0217,-0.0411,0.0154
10.6,0.067,-0.0123,-0.0334
10.62,0.0317,0.0022,-0.0088
10.64,0.0039,0.0198,-0.0197
10.66,-0.0091,-0.0496,-0.0011
10.68,0.0457,-0.0487,-0.001
10.7,-0.0242,-0.0407,-0.016
10.72,-0.0184,-0.0145,0.007
10.74,-0.0281,0.0502,0.0218
10.76,0.0003,-0.0031,0.103
10.78,0.0506,-0.0597,0.0632
10.8,0.0355,0.0004,-0.0089
10.82,0.0086,-0.0324,0.0395
10.84,0.0359,-0.0208,-0.0236
10.86,-0.0239,-0.017,0.0132
10.88,0.0194,-0.0173,0.0546
10.9,-0.0465,-0.0358,0.0006
10.92,0.0715,-0.0407,-0.0134
10.94,0.0364,0.013,0.0243
10.96,0.0216,-0.0742,-0.0412
10.98,-0.0014,-0.0129,-0.0139
11.0,-0.0366,-0.0241,-0.0044
11.02,-0.0131,-0.0162,0.0567
11.04,0.012,-0.0118,0.0435
11.06,0.0393,-0.0342,0.0505
11.08,-0.0221,0.0031,0.0504
11.1,0.0208,-0.0555,0.0544
11.12,0.0388,0.0194,0.0433
11.14,-0.0098,0.006,0.0138
11.16,0.086,-0.0437,0.0269
11.18,0.0406,-0.0336,-0.0033
11.2,-0.0141,-0.0252,0.0037
11.22,0.025,0.008,0.0085
11.24,-0.0015,0.0104,0.001
11.26,0.0316,-0.0451,0.0014
11.28,0.0045,0.0066,0.0469
11.3,0.0186,-0.014,0.0401
11.32,0.0261,-0.0189,-0.0245
11.34,-0.0042,-0.0469,0.014
11.36,0.0302,-0.0158,-0.0244
11.38,-0.0224,-0.0236,-0.026
11.4,-0.0251,-0.0004,-0.0103
11.42,0.0328,-0.0006,0.031
11.44,-0.0049,-0.014,-0.0143
11.46,-0.0193,-0.0304,-0.0266
11.48,0.0167,-0.065,-0.0308
11.5,-0.0264,-0.0068,-0.0329
11.52,0.0482,0.0203,-0.0022
11.54,0.0756,-0.0455,-0.0023
11.56,-0.0478,-0.0139,0.0143
11.58,-0.0011,-0.0269,0.0079
11.6,0.0075,-0.0153,0.0231
11.62,-0.0165,0.0353,0.0518
11.64,0.0093,-0.0578,-0.0239
11.66,0.0196,-0.029,-0.0135
11.68,0.0324,-0.0867,0.0118
11.7,-0.0172,-0.0319,-0.0097
11.72,0.0393,-0.0299,-0.0129
11.74,0.0566,-0.0083,0.0618
11.76,0.0378,-0.0482,0.072
11.78,0.005,-0.0185,-0.0022
11.8,0.0149,-0.057,0.0399
11.82,-0.0152,-0.037,0.0119
11.84,0.0135,0.0129,0.0255
11.86,0.037,0.0074,0.0118
11.88,0.0524,0.0507,0.007
11.9,-0.0371,0.0009,0.0323
11.92,0.0231,0.005,0.0292
11.94,0.0084,-0.0238,0.0143
11.96,0.0224,0.041,-0.0082
11.98,-0.0094,0.0315,0.0434
12.0,0.0185,-0.0239,0.0372
12.02,-0.0232,0.0084,0.014
12.04,0.0087,-0.0197,0.0093
12.06,0.0164,-0.0197,-0.0058
12.08,0.0621,-0.0758,0.0179
12.1,-0.0201,-0.0025,-0.0108
12.12,0.0033,0.0166,-0.0202
12.14,-0.06,0.0015,0.0826
12.16,-0.0014,-0.0299,0.0058
12.18,0.07,0.0187,0.0105
12.2,0.0253,0.024,0.0541
12.22,0.0038,-0.0551,0.0047
12.24,-0.0476,-0.0347,0.063
12.26,-0.0314,-0.0099,0.0049
12.28,0.0159,-0.0683,0.0748
12.3,0.0118,-0.0437,-0.0388
12.32,-0.0083,-0.0741,0.0209
12.34,0.0354,-0.0558,-0.046
12.36,0.0047,-0.0155,0.0733
12.38,-0.009,-0.0204,0.0205
12.4,-0.0093,-0.0657,-0.041
12.42,-0.0257,-0.017,0.0422
12.44,-0.0435,0.0008,0.0114
12.46,0.0183,-0.0087,0.0062
12.48,-0.0228,-0.0187,-0.0485
12.5,-0.0113,0.0068,0.0145
12.52,-0.0107,-0.0187,-0.0058
12.54,0.016,-0.0212,0.0327
12.56,0.0319,0.0289,-0.0244
12.58,-0.017,-0.0103,0.0323
12.6,-0.012,-0.0268,-0.0042
12.62,0.021,-0.0364,0.0124
12.64,0.0032,-0.0045,-0.0071
12.66,0.0222,0.0027,-0.012
12.68,0.0218,-0.0829,0.0204
12.7,0.0,0.0055,-0.007
12.72,0.0635,-0.0344,0.0033
12.74,0.0271,-0.0278,0.0242
12.76,0.0114,-0.0232,0.0268
12.78,-0.0624,-0.0748,0.0608
12.8,-0.0029,-0.036,0.0675
12.82,0.0121,-0.014,0.0384
12.84,0.0097,-0.0237,0.0168
12.86,-0.0232,-0.0813,0.0043
12.88,0.0373,-0.0721,0.002
12.9,0.0013,0.0165,0.0311
12.92,0.0005,-0.007,0.0683
12.94,0.0338,-0.0058,0.0189
12.96,0.0003,-0.0245,-0.0202
12.98,-0.0199,-0.072,-0.0077
13.0,0.0155,-0.0426,-0.0356
13.02,-0.0065,0.0181,0.0002
13.04,-0.0137,-0.0033,0.0781
13.06,0.0025,-0.0493,0.0232
13.08,0.041,-0.0771,0.043
13.1,-0.0127,0.0132,0.0017
13.12,-0.023,-0.0328,0.0097
13.14,-0.0413,-0.0324,-0.0078
13.16,-0.0283,-0.0237,0.018
13.18,-0.0012,-0.016,0.0493
13.2,0.0586,0.006,0.0173
13.22,0.0008,-0.0231,0.0225
13.24,0.0275,-0.0242,0.0379
13.26,0.0132,-0.031,0.0332
13.28,0.024,-0.0156,0.0638
13.3,0.0305,-0.0109,0.0158
13.32,0.0132,-0.0309,0.0373
13.34,-0.0034,-0.0336,0.0179
13.36,0.0366,0.0203,0.0293
13.38,0.0165,-0.005,-0.0162
13.4,-0.007,0.0039,0.0159
13.42,-0.0289,0.0461,0.0013
13.44,0.046,0.0016,0.0047
13.46,0.0421,-0.0212,0.0408
13.48,0.0279,0.0183,0.0407
13.5,-0.0565,-0.0299,0.0213
13.52,-0.0007,-0.0192,0.0798
13.54,0.0021,-0.0233,-0.0059
13.56,0.0034,0.0201,-0.012
13.58,0.0172,-0.0125,-0.0184
13.6,-0.0248,0.023,0.0202
13.62,0.0012,-0.0668,0.0155
13.64,-0.0301,-0.0886,0.0225
13.66,-0.0042,0.0088,0.0097
13.68,-0.0036,-0.0307,0.0258
13.7,0.0057,-0.0546,-0.0207
13.72,-0.026,-0.0209,0.0459
13.74,-0.012,-0.0014,-0.0194
13.76,0.018,-0.052,0.0433
13.78,-0.0386,-0.028,-0.0161
13.8,-0.0236,0.0272,0.0256
13.82,0.0316,-0.0068,0.0023
13.84,0.0025,-0.0078,0.0306
